,ESL0825,ESL0820,ESL0822,ESL0170,ESL0824,ESL0198,ESL0827,ESL0199,ESL0200,ESL0819,ESL0197,ESL0294,ESL0394,ESL0295,ESL1028,ESL0263,ESL0185,ESL0183,ESL0835,ESL0354,ESL0393,ESL0259,ESL0260,ESL0184,ESL0350,ESL0186,ESL0261,unknown
ESL0170_filt_reads.fastq.gz,0,0,0,17636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESL0183_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,0,0,0,0,0,0,0,0,0,0
ESL0184_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0
ESL0185_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ESL0186_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ESL0197_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESL0198_filt_reads.fastq.gz,0,0,0,0,0,2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ESL0199_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESL0200_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,37
ESL0261_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5970,6
ESL0262_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11246,0,0,0,0,0,0,0,0,0,1585
ESL0263_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18779,0,0,0,0,0,0,0,0,0,0,0,31
ESL0294_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,12856,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,425
ESL0295_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,13238,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ESL0350_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10546,0,0,329
ESL0394_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,3758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
ESL0819_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,2874,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESL0820_filt_reads.fastq.gz,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
ESL0822_filt_reads.fastq.gz,0,0,23883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESL0824_filt_reads.fastq.gz,0,0,0,0,16608,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58033
ESL0825_filt_reads.fastq.gz,7013,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11563
ESL0827_filt_reads.fastq.gz,0,0,0,0,0,0,5665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
ESL1028_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8399,0,0,0,0,0,0,0,0,0,0,0,0,0
