,ESL0825_0,ESL0822_4,ESL0170_5,ESL0824_6,ESL0198_8,ESL0827_10,ESL0200_13,ESL0819_14,ESL0294_17,ESL0294_18,ESL0294_19,ESL0394_20,ESL0394_21,ESL0394_22,ESL0394_23,ESL0295_24,ESL1028_25,ESL0353;ESL0185_26,ESL0263_27,ESL0263_28,ESL0183;ESL0262_29,ESL0183;ESL0262_30,ESL0183;ESL0262_31,ESL0183;ESL0262_32,ESL0184_48,ESL0184_49,ESL0184_50,ESL0184_51,ESL0350_52,ESL0350_53,ESL0350_54,ESL0350_55,ESL0186_56,ESL0186;ESL0351_57,ESL0261_58,ESL0261_59,ESL0827_62,unk_0,unk_1,unk_2,unk_3,unk_4,unk_5,unk_6,unk_7,unk_8,unk_9,unk_10,unk_11,unk_12,unk_13,unk_14,unk_15,unk_16,unk_17,unk_18,unk_19,unk_20,unk_21,total
ESL0170_filt_reads.fastq.gz,0,0,35271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35271
ESL0183_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271,973,1179,1591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5014
ESL0184_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,419,300,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1455
ESL0185_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ESL0186_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
ESL0197_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ESL0198_filt_reads.fastq.gz,0,0,0,0,4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4327
ESL0199_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ESL0200_filt_reads.fastq.gz,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
ESL0261_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5169,18177,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23352
ESL0262_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9139,14009,10069,11767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1205,372,0,0,0,0,0,0,0,0,0,46573
ESL0263_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12247,58513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70798
ESL0294_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,21698,13953,19789,0,0,0,0,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,31,0,53,0,5,0,0,0,0,308,0,0,0,0,0,0,0,0,55894
ESL0295_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,52957
ESL0350_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9458,17505,8811,6408,0,0,0,0,0,16,0,0,0,0,0,0,0,0,7,0,0,0,0,182,124,0,0,0,0,0,0,42511
ESL0394_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,2880,3794,5669,2691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15055
ESL0819_filt_reads.fastq.gz,0,0,0,0,0,0,0,5749,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5758
ESL0820_filt_reads.fastq.gz,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
ESL0822_filt_reads.fastq.gz,0,47766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47766
ESL0824_filt_reads.fastq.gz,0,0,0,33216,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,43825,0,0,0,0,0,0,14190,0,0,0,0,0,11,0,0,0,0,0,91255
ESL0825_filt_reads.fastq.gz,14026,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8596,0,0,0,0,0,0,2940,0,0,0,0,0,0,0,3,0,0,0,25600
ESL0827_filt_reads.fastq.gz,0,0,0,0,0,5904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5427,0,26,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11375
ESL1028_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33597
