,ESL0825,ESL0820,ESL0822,ESL0170,ESL0824,ESL0198,ESL0827,ESL0199,ESL0200,ESL0819,ESL0197,ESL0294,ESL0394,ESL0295,ESL1028,ESL0263,ESL0185,ESL0183,ESL0835,ESL0354,ESL0393,ESL0259,ESL0260,ESL0184,ESL0350,ESL0186,ESL0261,unknown
2-0_1.fastq.gz,0,0,0,0,7,0,0,0,0,0,21,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,3,57
2-0_2.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,4,1,0,0
2-0_3.fastq.gz,32,0,12,0,12,0,4,0,10,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,2,6,3,39
2-0_4.fastq.gz,18,0,0,0,0,0,0,0,0,0,16,0,13,0,4,6,0,0,24,0,0,0,0,0,0,5,0,65
2-0_5.fastq.gz,5,0,0,0,0,0,0,0,58,0,25,0,2,0,16,14,0,0,13,0,0,0,0,0,13,13,0,197
2-0_6.fastq.gz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,2
2-0_7.fastq.gz,18,0,0,0,0,0,0,0,0,0,0,0,26,0,22,3,0,0,4,0,0,0,0,0,21,3,0,75
2-0_8.fastq.gz,0,0,0,0,0,0,0,0,57,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,4,0,313
2-0_9.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2-0_10.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0
2-1_1.fastq.gz,0,258,54,0,0,168,56,0,0,56,6,0,0,0,9,1098,0,1793,0,0,0,0,0,0,1057,645,0,0
2-1_2.fastq.gz,0,156,88,0,0,86,73,0,0,31,40,0,0,2,10,2052,0,2365,0,0,0,0,0,0,2671,886,0,0
2-1_3.fastq.gz,0,141,21,0,0,48,49,0,0,21,0,0,0,2,4,2004,0,3301,0,0,0,0,0,0,1397,1832,0,0
2-1_4.fastq.gz,0,356,58,0,0,80,31,0,0,4,9,0,0,150,38,310,0,3176,0,0,0,0,0,0,1047,1115,0,0
2-1_5.fastq.gz,0,229,128,0,0,261,92,0,0,26,0,0,0,350,89,464,0,1004,0,0,0,0,0,0,1406,1393,0,0
2-1_6.fastq.gz,0,351,138,0,0,357,138,0,0,56,68,0,0,203,2,406,0,3169,0,0,0,0,0,0,3025,1017,0,0
2-1_7.fastq.gz,0,46,0,0,0,9,5,0,0,10,0,0,0,0,0,1484,0,1246,0,0,0,0,0,0,560,740,0,0
2-1_8.fastq.gz,0,107,18,0,0,34,32,0,0,8,0,0,0,0,1,1874,0,1534,0,0,0,0,0,0,1472,2206,0,118
2-1_9.fastq.gz,0,173,42,0,0,107,61,0,0,0,0,0,0,214,5,3710,0,1031,0,0,0,0,0,0,4996,3300,0,5
2-2_1.fastq.gz,288,0,0,116,211,0,0,202,42,0,0,0,3938,0,30,0,238,0,1010,0,0,0,0,0,0,0,352,1338
2-2_2.fastq.gz,195,0,0,50,147,0,0,75,0,0,0,0,3735,0,21,0,300,0,758,0,0,0,0,0,0,0,464,0
2-2_3.fastq.gz,344,0,0,8,24,0,0,4,14,0,0,0,2386,0,5,0,190,0,3644,0,0,0,0,0,0,0,658,1243
2-2_4.fastq.gz,47,0,0,4,18,0,0,11,0,0,0,0,2482,0,0,0,27,0,8962,0,0,0,0,0,0,0,1427,2
2-2_5.fastq.gz,580,0,0,204,406,0,0,414,31,0,5,0,4672,0,78,0,354,0,1125,0,0,0,0,969,0,0,1272,583
2-2_6.fastq.gz,55,0,0,9,29,0,0,26,2,0,0,0,1487,0,14,0,150,0,514,0,0,0,0,9,0,0,276,3
2-2_7.fastq.gz,179,0,0,40,98,0,0,110,40,0,0,0,3182,0,72,0,215,0,1340,0,0,0,0,688,0,0,666,0
2-2_8.fastq.gz,176,0,0,49,211,0,0,178,33,0,0,0,5272,0,73,0,226,0,936,0,0,0,0,774,0,0,941,1058
2-2_9.fastq.gz,19,0,0,0,0,0,0,0,0,0,0,0,2998,0,0,0,253,0,2280,0,0,0,0,0,0,0,153,398
2-2_10.fastq.gz,529,0,0,158,342,0,0,265,38,0,1,0,3640,0,53,0,196,0,1144,0,0,0,0,292,0,0,504,873
2-3_1.fastq.gz,2,176,72,0,3,87,51,2,0,17,3,0,29,163,36,253,0,900,0,0,0,0,0,0,2369,1269,1,0
2-3_2.fastq.gz,0,250,75,0,0,167,80,0,0,23,0,0,5,111,14,207,0,1616,0,0,0,0,0,0,1438,1017,0,8
2-3_3.fastq.gz,0,11,0,0,0,9,0,0,0,4,0,0,4,6,1,4990,0,7226,5,0,0,0,0,0,1442,6875,0,24
2-3_4.fastq.gz,0,71,9,0,0,34,20,0,0,30,12,0,0,3,3,301,0,723,0,0,0,0,0,0,381,285,0,0
2-3_5.fastq.gz,24,512,171,18,12,291,138,18,0,98,2,0,13,376,50,625,6,461,0,0,0,0,0,0,2304,1821,0,0
2-3_6.fastq.gz,7,84,28,0,0,79,10,7,0,0,0,0,14,0,0,1208,0,528,0,0,0,0,0,0,1329,1395,0,0
2-3_7.fastq.gz,11,126,34,0,7,82,63,4,0,21,12,0,20,0,0,1851,0,2142,0,0,0,0,0,0,1508,1544,1,19
2-3_8.fastq.gz,13,120,48,0,0,69,40,0,0,22,0,0,53,113,18,2376,0,2776,0,0,0,0,0,0,3232,3486,0,6
2-3_9.fastq.gz,0,35,16,0,0,22,17,0,0,7,0,0,3,46,7,452,0,145,0,0,0,0,0,0,498,503,0,0
2-3_10.fastq.gz,17,232,48,0,0,108,26,6,0,12,0,0,69,0,0,3046,0,233,0,0,0,0,0,0,3572,2886,0,4
2-4_1.fastq.gz,70,0,0,14,20,0,0,14,8,0,3,0,1353,0,19,255,195,0,1093,0,0,0,0,31,0,0,103,0
2-4_2.fastq.gz,0,0,0,0,0,0,0,5,0,0,0,0,1778,0,0,197,114,0,1407,0,0,0,0,172,0,0,387,299
2-4_3.fastq.gz,60,24,0,20,123,0,0,94,93,0,83,0,701,0,26,253,144,0,2615,0,0,0,0,590,0,0,453,0
2-4_4.fastq.gz,341,0,0,32,128,0,0,114,45,0,6,0,2093,0,18,286,115,0,1922,0,0,0,0,707,0,0,514,240
2-4_5.fastq.gz,416,0,0,24,111,0,0,118,12,0,8,0,1092,0,30,706,348,0,2693,0,0,0,0,140,8,0,203,0
2-4_6.fastq.gz,103,0,0,26,39,0,0,28,30,0,0,0,596,0,12,149,41,0,658,0,0,0,0,108,0,0,193,0
2-4_7.fastq.gz,52,0,0,16,19,0,0,18,0,0,0,0,2547,0,26,249,250,0,570,0,0,0,0,45,0,0,538,0
2-4_8.fastq.gz,218,0,0,56,51,0,0,52,82,0,8,0,1692,0,7,0,6,0,932,0,0,0,0,512,0,0,394,335
2-4_9.fastq.gz,30,0,0,0,16,0,0,18,0,0,0,0,1468,0,10,240,132,0,316,0,0,0,0,92,0,0,469,0
2-4_10.fastq.gz,171,2,0,160,120,0,0,119,14,0,0,0,3398,0,17,1556,334,0,671,0,0,0,0,142,0,0,257,571
2-5_1.fastq.gz,0,222,72,0,0,170,0,48,12,0,13,0,0,46,46,1383,0,0,513,0,0,0,0,0,0,1791,0,10
2-5_2.fastq.gz,0,352,42,0,0,69,0,30,0,0,0,0,0,0,0,6285,0,0,623,0,0,0,0,0,0,2052,0,0
2-5_3.fastq.gz,0,36,4,0,0,31,0,9,0,0,0,0,0,0,0,4368,0,0,753,0,0,0,0,0,0,1937,0,437
