Barcode,Bio Sample
bc1005--bc1033,1-0_1
bc1007--bc1033,1-1_1
bc1008--bc1033,1-2_1
bc1012--bc1033,1-3_1
bc1015--bc1033,1-4_1
bc1020--bc1033,1-5_1
bc1022--bc1033,1-6_1
bc1024--bc1033,1-7_1
bc1005--bc1035,1-0_2
bc1007--bc1035,1-1_2
bc1008--bc1035,1-2_2
bc1012--bc1035,1-3_2
bc1015--bc1035,1-4_2
bc1020--bc1035,1-5_2
bc1022--bc1035,1-6_2
bc1024--bc1035,1-7_2
bc1005--bc1044,1-0_3
bc1007--bc1044,1-1_3
bc1008--bc1044,1-2_3
bc1012--bc1044,1-3_3
bc1015--bc1044,1-4_3
bc1020--bc1044,1-5_3
bc1022--bc1044,1-6_3
bc1024--bc1044,1-7_3
bc1005--bc1045,1-0_4
bc1007--bc1045,1-1_4
bc1008--bc1045,1-2_4
bc1012--bc1045,1-3_4
bc1015--bc1045,1-4_4
bc1020--bc1045,1-5_4
bc1022--bc1045,1-6_4
bc1024--bc1045,1-7_4
bc1005--bc1054,1-0_5
bc1007--bc1054,1-1_5
bc1008--bc1054,1-2_5
bc1012--bc1054,1-3_5
bc1015--bc1054,1-4_5
bc1020--bc1054,1-5_5
bc1022--bc1054,1-6_5
bc1024--bc1054,1-7_5
bc1005--bc1056,1-0_6
bc1007--bc1056,1-1_6
bc1008--bc1056,1-2_6
bc1012--bc1056,1-3_6
bc1015--bc1056,1-4_6
bc1020--bc1056,1-5_6
bc1022--bc1056,1-6_6
bc1024--bc1056,1-7_6
bc1005--bc1057,1-0_7
bc1007--bc1057,1-1_7
bc1008--bc1057,1-2_7
bc1012--bc1057,1-3_7
bc1015--bc1057,1-4_7
bc1020--bc1057,1-5_7
bc1022--bc1057,1-6_7
bc1024--bc1057,1-7_7
bc1005--bc1059,1-0_8
bc1007--bc1059,1-1_8
bc1008--bc1059,1-2_8
bc1012--bc1059,1-3_8
bc1015--bc1059,1-4_8
bc1020--bc1059,1-5_8
bc1022--bc1059,1-6_8
bc1024--bc1059,1-7_8
bc1005--bc1060,1-0_9
bc1007--bc1060,1-1_9
bc1008--bc1060,1-2_9
bc1012--bc1060,1-3_9
bc1015--bc1060,1-4_9
bc1020--bc1060,1-5_9
bc1022--bc1060,1-6_9
bc1024--bc1060,1-7_9
bc1005--bc1062,eb-1
bc1007--bc1062,1-1_10
bc1008--bc1062,1-2_10
bc1012--bc1062,1-3_10
bc1015--bc1062,1-4_10
bc1020--bc1062,1-5_10
bc1022--bc1062,1-6_10
bc1024--bc1062,1-7_10
