Sample Name,Barcode,Barcode Quality,HiFi Reads,"HiFi Read Length (mean, bp)","HiFi Read Quality (median, QV)",HiFi Yield (bp)
1-8_1,bc1005--bc1033,98.99554317548747,7180,1626,Q39,11676679
1-8_2,bc1005--bc1035,99.51450100762288,11413,1632,Q47,18635475
1-8_3,bc1005--bc1044,99.38945281522601,12610,1563,Q60,19712564
1-8_4,bc1005--bc1045,99.29943729903538,4976,1647,Q47,8197888
1-8_5,bc1005--bc1054,99.09809782608696,7360,1596,Q60,11748912
1-8_6,bc1005--bc1056,99.650234590912,15559,1568,Q53,24403437
1-8_7,bc1005--bc1057,99.65863002502937,19577,1543,Q62,30216105
1-8_8,bc1005--bc1059,99.63069466068646,1271081,1529,Q62,1944264311
1-8_9,bc1005--bc1060,98.86121346106607,44781,1540,Q47,69006259
1-9_1,bc1007--bc1033,99.6819095477387,37810,1524,Q45,57634342
1-9_2,bc1007--bc1035,98.88646288209607,229,2029,Q53,464754
1-9_3,bc1007--bc1044,99.4131994261119,11849,1528,Q60,18116912
1-9_4,bc1007--bc1045,99.15979381443299,194,1806,Q62,350554
1-9_5,bc1007--bc1054,99.59535486258906,21614,1526,Q47,33003867
1-9_6,bc1007--bc1056,99.63264876250658,18990,1528,Q44,29021949
1-9_7,bc1007--bc1057,99.68503718503719,18018,1526,Q59,27500069
1-9_8,bc1007--bc1059,99.66723441836992,31704,1539,Q43,48808596
1-9_9,bc1007--bc1060,99.70408900447912,6921,1532,Q72,10606287
1-9_10,bc1007--bc1062,99.6881548974943,21950,1528,Q50,33540553
1-10_1,bc1008--bc1033,99.5592248368598,10114,1527,Q48,15446294
1-10_2,bc1008--bc1035,99.46323080057039,34363,1525,Q48,52405298
1-10_3,bc1008--bc1044,99.27762231449721,22156,1523,Q60,33756887
1-10_4,bc1008--bc1045,99.59470872388752,31259,1526,Q53,47727036
1-10_5,bc1008--bc1054,99.0558796943052,12169,1532,Q50,18644559
1-10_6,bc1008--bc1056,99.5569908197254,12309,1528,Q48,18814053
1-10_7,bc1008--bc1057,99.43237486687966,45072,1524,Q61,68690507
1-10_8,bc1008--bc1059,99.36894519341509,14761,1557,Q57,22985447
1-10_9,bc1008--bc1060,99.26464972830078,6809,1536,Q57,10460850
1-10_10,bc1008--bc1062,99.38352324109242,11058,1524,Q45,16861422
1-11_1,bc1012--bc1033,99.20881110440556,8285,1533,Q43,12704716
1-11_2,bc1012--bc1035,99.28735450571443,18987,1532,Q58,29099051
1-11_3,bc1012--bc1044,99.1109849560034,7046,1545,Q60,10889117
1-11_4,bc1012--bc1045,97.57003882368691,22409,1538,Q63,34480007
1-11_5,bc1012--bc1054,98.01167989463833,28853,1535,Q60,44298640
1-11_6,bc1012--bc1056,99.41538461538461,65,2547,Q39,165569
1-11_7,bc1012--bc1057,99.4724183430172,43199,1525,Q60,65883571
1-11_8,bc1012--bc1059,98.54267212413708,32738,1555,Q60,50921397
1-12_1,bc1015--bc1033,99.02670989655705,6477,1551,Q58,10046939
1-12_2,bc1015--bc1035,99.14694227267859,9337,1549,Q58,14467471
1-12_3,bc1015--bc1044,99.3948278702026,6071,1543,Q60,9372714
1-12_4,bc1015--bc1045,99.39418884043783,44948,1529,Q65,68765599
1-12_5,bc1015--bc1054,99.49127256452334,20109,1530,Q60,30768823
1-12_6,bc1015--bc1056,99.45141603510172,75210,1525,Q60,114748696
1-12_7,bc1015--bc1057,99.61231009754273,29423,1525,Q63,44885400
1-12_8,bc1015--bc1059,99.24364697802197,5824,1669,Q45,9723656
1-12_9,bc1015--bc1060,98.81315494011976,21376,1532,Q60,32755449
1-12_10,bc1015--bc1062,98.75884861407249,4690,1528,Q49,7170220
a1-0,bc1020--bc1033,98.63570557658987,77915,1540,Q67,120062588
a1-3,bc1020--bc1035,99.17155200031706,302777,1529,Q60,463120365
a2-0,bc1020--bc1044,99.19044400321069,47342,1578,Q60,74730902
a2-3,bc1020--bc1045,99.01557886162306,29463,1601,Q60,47172912
a3-0,bc1020--bc1054,96.89981828408256,46226,2139,Q60,98888675
a3-3,bc1020--bc1056,99.06030558820387,46795,1598,Q60,74814904
b1-0,bc1022--bc1033,99.73924628854206,7881,1513,Q64,11924668
b1-3,bc1022--bc1035,99.51428571428572,5600,1530,Q67,8573334
b2-0,bc1022--bc1044,99.4779087830095,157076,1503,Q60,236201229
b2-3,bc1022--bc1045,99.71416143064282,20690,1523,Q60,31517742
b3-0,bc1022--bc1054,99.60115624341333,33211,1551,Q60,51516810
b3-3,bc1022--bc1056,99.68343793213488,9401,1519,Q60,14289175
1-s0,bc1024--bc1033,99.66554108010678,43829,1504,Q72,65938240
1-s3,bc1024--bc1035,99.37454710144928,2208,1519,Q72,3355749
eb-2,bc1024--bc1044,99.55609756097562,820,1520,Q60,1246493
No Name,Not Barcoded,0.0,731327,1614,Q60,1180684372
