barcode,biosample
bc1005--bc1033,2-0_1
bc1005--bc1035,2-0_2
bc1005--bc1044,2-0_3
bc1005--bc1045,2-0_4
bc1005--bc1054,2-0_5
bc1005--bc1056,2-0_6
bc1005--bc1057,2-0_7
bc1005--bc1059,2-0_8
bc1005--bc1060,2-0_9
bc1005--bc1062,2-0_10
bc1007--bc1033,2-1_1
bc1007--bc1035,2-1_2
bc1007--bc1044,2-1_3
bc1007--bc1045,2-1_4
bc1007--bc1054,2-1_5
bc1007--bc1056,2-1_6
bc1007--bc1057,2-1_7
bc1007--bc1059,2-1_8
bc1007--bc1060,2-1_9
bc1008--bc1033,2-2_1
bc1008--bc1035,2-2_2
bc1008--bc1044,2-2_3
bc1008--bc1045,2-2_4
bc1008--bc1054,2-2_5
bc1008--bc1056,2-2_6
bc1008--bc1057,2-2_7
bc1008--bc1059,2-2_8
bc1008--bc1060,2-2_9
bc1008--bc1062,2-2_10
bc1012--bc1033,2-3_1
bc1012--bc1035,2-3_2
bc1012--bc1044,2-3_3
bc1012--bc1045,2-3_4
bc1012--bc1054,2-3_5
bc1012--bc1056,2-3_6
bc1012--bc1057,2-3_7
bc1012--bc1059,2-3_8
bc1012--bc1060,2-3_9
bc1012--bc1062,2-3_10
bc1015--bc1033,2-4_1
bc1015--bc1035,2-4_2
bc1015--bc1044,2-4_3
bc1015--bc1045,2-4_4
bc1015--bc1054,2-4_5
bc1015--bc1056,2-4_6
bc1015--bc1057,2-4_7
bc1015--bc1059,2-4_8
bc1015--bc1060,2-4_9
bc1015--bc1062,2-4_10
bc1020--bc1033,2-5_1
bc1020--bc1035,2-5_2
bc1020--bc1044,2-5_3
bc1020--bc1045,2-5_4
bc1020--bc1054,2-5_5
bc1020--bc1056,2-5_6
bc1020--bc1057,2-5_7
bc1022--bc1033,2-6_1
bc1022--bc1035,2-6_2
bc1022--bc1044,2-6_3
bc1022--bc1045,2-6_4
bc1022--bc1054,2-6_5
bc1022--bc1056,2-6_6
bc1022--bc1057,2-6_7
bc1022--bc1059,2-6_8
bc1024--bc1033,2-7_1
bc1024--bc1035,2-7_2
bc1024--bc1044,2-7_3
bc1024--bc1045,2-7_4
bc1024--bc1054,2-7_5
bc1024--bc1056,2-7_6
bc1024--bc1057,2-7_7
bc1024--bc1059,2-7_8
bc1024--bc1060,2-7_9
bc1024--bc1062,eb-3
