Barcode,Biosample
bc1005--bc1033,3-0_1
bc1005--bc1035,3-0_2
bc1005--bc1044,3-0_3
bc1005--bc1045,3-0_4
bc1005--bc1054,3-0_5
bc1005--bc1056,3-0_6
bc1005--bc1057,3-0_7
bc1005--bc1059,3-0_8
bc1005--bc1060,3-0_9
bc1007--bc1033,3-1_1
bc1007--bc1035,3-1_2
bc1007--bc1044,3-1_3
bc1007--bc1045,3-1_4
bc1007--bc1054,3-1_5
bc1007--bc1056,3-1_6
bc1007--bc1057,3-1_7
bc1007--bc1059,3-1_8
bc1007--bc1060,3-1_9
bc1007--bc1062,3-1_10
bc1008--bc1033,3-2_1
bc1008--bc1035,3-2_2
bc1008--bc1044,3-2_3
bc1008--bc1045,3-2_4
bc1008--bc1054,3-2_5
bc1008--bc1056,3-2_6
bc1008--bc1057,3-2_7
bc1008--bc1059,3-2_8
bc1008--bc1060,3-2_9
bc1012--bc1033,3-3_1
bc1012--bc1035,3-3_2
bc1012--bc1044,3-3_3
bc1012--bc1045,3-3_4
bc1012--bc1054,3-3_5
bc1012--bc1056,3-3_6
bc1012--bc1057,3-3_7
bc1012--bc1059,3-3_8
bc1012--bc1060,3-3_9
bc1015--bc1033,3-4_1
bc1015--bc1035,3-4_2
bc1015--bc1044,3-4_3
bc1015--bc1045,3-4_4
bc1015--bc1054,3-4_5
bc1015--bc1056,3-4_6
bc1015--bc1057,3-4_7
bc1015--bc1059,3-4_8
bc1015--bc1060,3-4_9
bc1015--bc1062,3-4_10
bc1020--bc1033,3-5_1
bc1020--bc1035,3-5_2
bc1020--bc1044,3-5_3
bc1020--bc1045,3-5_4
bc1020--bc1054,3-5_5
bc1020--bc1056,3-5_6
bc1020--bc1057,3-5_7
bc1020--bc1059,3-5_8
bc1020--bc1060,3-5_9
bc1020--bc1062,3-5_10
bc1022--bc1033,3-6_1
bc1022--bc1035,3-6_2
bc1022--bc1044,3-6_3
bc1022--bc1045,3-6_4
bc1022--bc1054,3-6_5
bc1022--bc1056,3-6_6
bc1022--bc1057,3-6_7
bc1022--bc1059,3-6_8
bc1022--bc1060,3-6_9
bc1022--bc1062,3-6_10
bc1024--bc1033,3-7_1
bc1024--bc1035,3-7_2
bc1024--bc1044,3-7_3
bc1024--bc1045,3-7_4
bc1024--bc1054,3-7_5
bc1024--bc1056,3-7_6
bc1024--bc1057,3-7_7
bc1024--bc1059,3-7_8
bc1024--bc1060,3-7_9
bc1024--bc1062,eb-5
