,ESL0825_0,ESL0822_4,ESL0170_5,ESL0824_6,ESL0198_8,ESL0827_10,ESL0199_12,ESL0200_13,ESL0819_14,ESL0197_15,ESL0394_20,ESL0394_21,ESL0394_22,ESL0394_23,ESL0295_24,ESL0353;ESL0185_26,ESL0263_27,ESL0263_28,ESL0183;ESL0262_29,ESL0183;ESL0262_30,ESL0183;ESL0262_31,ESL0183;ESL0262_32,ESL0184_48,ESL0184_49,ESL0184_50,ESL0184_51,ESL0350_52,ESL0350_53,ESL0350_54,ESL0350_55,ESL0186_56,ESL0186;ESL0351_57,ESL0261_58,ESL0261_59,ESL0820_61,ESL0827_62,unk_0,unk_1,unk_2,unk_3,unk_4,unk_5,unk_6,unk_7,unk_8,unk_9,unk_10,unk_11,unk_12,unk_13,unk_14,unk_15,unk_16,unk_17,unk_18,unk_19,unk_20,unk_21,unk_22,unk_23,unk_24,unk_25,unk_26,unk_27,unk_28,unk_29,unk_30,unk_31,total
2-1_filt_reads.fastq.gz,473,118,133,565,221,122,236,0,0,0,715,861,1471,705,0,85,3144,12470,134,198,161,220,0,0,0,0,290,498,227,171,3269,2237,341,791,376,118,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30352
2-13_filt_reads.fastq.gz,921,350,375,1206,312,277,1154,0,81,7,650,781,1183,644,5624,58,1271,4848,382,548,393,504,0,0,0,0,1052,2036,777,768,4693,3030,133,116,1329,260,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35768
3-1_filt_reads.fastq.gz,787,118,47,346,222,92,181,0,16,17,1229,1450,1966,1216,1188,205,2534,10167,912,1249,1072,1211,0,0,0,0,991,1656,805,688,1263,836,358,816,152,78,0,0,0,0,0,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33900
3-13_filt_reads.fastq.gz,940,270,388,515,247,279,218,0,84,16,27,46,88,0,0,2813,4052,15532,0,27,0,0,0,0,0,0,631,1039,546,481,5896,4095,0,0,1501,282,0,0,0,0,398,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40565
1-1_filt_reads.fastq.gz,722,185,203,452,335,191,372,0,66,31,859,1041,1593,869,4078,216,3432,12317,234,280,292,315,0,0,0,0,921,1503,729,679,3730,2616,65,76,533,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39082
1-4_filt_reads.fastq.gz,0,0,96,0,165,0,158,0,30,0,1680,1703,2176,1624,6,0,1889,5973,159,155,146,174,0,0,0,0,1268,1629,1108,1215,0,0,746,2355,300,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24757
2-4_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2-16_filt_reads.fastq.gz,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,26,28,0,12,0,0,0,0,0,0,7,0,0,0,69,0,0,0,0,0,0,0,754,0,54,33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005
3-4_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
3-16_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
1-8_filt_reads.fastq.gz,4476,1523,0,2358,0,851,0,112,0,231,0,0,0,0,4534,5973,0,0,1490,1996,1666,1917,0,0,0,0,0,0,0,0,8366,5503,0,0,0,784,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41790
2-8_filt_reads.fastq.gz,493,108,0,594,0,181,0,30,0,0,0,0,20,0,127,2769,0,0,2077,2695,2295,2664,0,0,0,0,0,0,0,0,6954,5120,0,0,0,158,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26287
2-20_filt_reads.fastq.gz,1723,856,0,2866,0,491,0,69,0,8,0,0,0,0,5808,5570,0,21,603,747,627,870,0,0,0,0,0,0,0,0,6602,5080,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32373
