ID,Type,Experiment,Plate,Treatment,is_low,Ct_Mean_bac,Ct_SD_bac,bac_copies,total_counts,sum_present
1-s0,aliquot,1,2,SW,,NA,NA,NA,17423,NA
1-s3,aliquot,1,2,SW,,NA,NA,NA,816,NA
a1-0,bacteria,1,2,A1,,19.5133991241455,0.150592729449272,184519867.101263,22163,13
a1-3,bacteria,1,2,A1,,18.652717590332,0.209995970129967,330883010.839814,88289,13
a2-0,bacteria,1,2,A2,,20.3674926757812,0.138974457979202,103360163.488156,15758,13
a2-3,bacteria,1,2,A2,,19.9191417694092,0.215663820505142,140112280.781836,9974,13
a3-0,bacteria,1,2,A3,,21.0120067596436,0.127615138888359,66745733.1662315,3827,12
a3-3,bacteria,1,2,A3,,20.1228580474854,0.0964386761188507,122023573.805164,18721,13
b1-0,bacteria,1,2,B1,,21.4081287384033,0.98066383600235,51014267.9786745,3055,12
b1-3,bacteria,1,2,B1,,21.8370971679688,0.198712676763535,38131193.6694041,2006,12
b2-0,bacteria,1,2,B2,,21.0619812011719,0.115534625947475,64520349.0825372,62050,13
b2-3,bacteria,1,2,B2,,22.8215770721436,0.159355580806732,19550926.4145711,7394,13
b3-0,bacteria,1,2,B3,,20.6179161071777,0.114674121141434,87208085.4049697,10352,12
b3-3,bacteria,1,2,B3,,20.0069694519043,0.0569895170629025,132006269.910085,3146,12
1-1_1,bee,1,1,A1-0,,14.5853204727173,0.376679629087448,5227355002.61911,5802,11
1-1_10,bee,1,1,A1-0,,18.2568302154541,0.192042469978333,432849761.95765,30585,11
1-1_2,bee,1,1,A1-0,,13.7645711898804,0.125823497772217,9123171326.03513,3635,12
1-1_3,bee,1,1,A1-0,,13.6477289199829,0.334692716598511,9875922762.33853,78342,12
1-1_4,bee,1,1,A1-0,,14.26624584198,0.149110376834869,6490961316.77266,16500,10
1-1_5,bee,1,1,A1-0,,15.4612121582031,0.0964782759547234,2885150225.0442,52853,11
1-1_6,bee,1,1,A1-0,,13.8195037841797,0.0335670225322247,8789373700.0574,28486,11
1-1_7,bee,1,1,A1-0,,12.9201631546021,0.0747730433940887,16180114256.7983,6051,11
1-1_8,bee,1,1,A1-0,,12.9360094070435,0.113493241369724,16007072259.3375,2221,11
1-1_9,bee,1,1,A1-0,,14.0914182662964,0.0738101154565811,7308501981.52387,31939,12
1-3_1,bee,1,1,A1-B1,,13.2059965133667,0.0352266579866409,13327549876.3407,2256,15
1-3_10,bee,1,1,A1-B1,,14.6631774902344,0.147337257862091,4958365914.81048,28527,20
