"ID","Bifidobacterium apousia (ESL0825)","Bifidobacterium apousia (ESL0820)","Bifidobacterium asteroides (ESL0822)","Bifidobacterium asteroides (ESL0170)","Bifidobacterium polysaccharolyticum (ESL0824)","Bifidobacterium polysaccharolyticum (ESL0198)","Bifidobacterium sp1. (ESL0827)","Bifidobacterium sp1. (ESL0199)","Bifidobacterium sp2. (ESL0200)","Bifidobacterium sp2. (ESL0819)","Bifidobacterium coryneforme (ESL0197)","Lactobacillus melliventris (ESL0394)","Bombilactobacillus mellis (ESL0295)","Bombilactobacillus mellifer (ESL1028)","Lactobacillus apis (ESL0263)","Lactobacillus apis (ESL0185)","Lactobacillus helsingborgensis (ESL0183)","Lactobacillus helsingborgensis (ESL0835)","Lactobacillus melliventris (ESL0184)","Lactobacillus melliventris (ESL0350)","Lactobacillus kullabergensis (ESL0186)","Lactobacillus kullabergensis (ESL0261)","Treatment"
"1-9_1",2932673.24037587,346055442.364353,0,287401977.556836,287890756.430232,0,147611219.765586,0,0,106553794.400323,0,936989100.300091,0,15640923.9486713,2443894.36697989,87980197.2112762,665716825.565323,0,0,893487780.567849,557696694.544812,0,"A3-0"
"1-9_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A3-0"
"1-9_3",0,62165417.1084094,0,45069927.4035968,73044365.1023811,0,35745114.8373354,0,0,32636843.9819149,0,1075461715.97548,0,69936094.2469606,0,62165417.1084094,584354920.819048,0,0,1521498583.72832,996200809.162261,0,"A3-0"
"1-9_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A3-0"
"1-9_5",0,235707319.803074,0,120669276.349697,175372681.628226,0,111015734.241721,0,0,19307084.2159515,0,1542153351.74912,0,17698160.5312888,0,90904188.1834382,684597027.823946,0,0,530944815.938665,502788651.457069,0,"A3-0"
"1-9_6",0,253631070.863038,0,181334363.747873,104296888.953025,0,56889212.1561955,0,0,7111151.51952444,0,1786084223.32055,0,7111151.51952444,0,205038202.146288,926820081.378018,0,0,1013339091.53223,507262141.726076,0,"A3-0"
"1-9_7",0,191130511.475722,0,155735972.313551,123375250.793852,0,58653807.7544543,0,0,58653807.7544543,2022545.09498118,1128580162.9995,0,32360721.5196989,0,152702154.671079,570357716.784694,0,0,1235775053.0335,752386775.333,0,"A3-0"
"1-9_8",0,80923107.1195927,0,52208456.2061889,101806489.602068,0,60039724.6371172,0,0,27844509.9766341,0,1824685544.4063,0,25234087.1663246,0,261042281.030944,159235791.428876,0,0,1848179349.69909,1007623204.77944,0,"A3-0"
"1-9_9",0,121355494.118668,0,97084395.2949348,69779409.1182344,0,48542197.6474674,0,0,39440535.5885673,0,989047277.067148,0,48542197.6474674,0,145626592.942402,1140741644.71548,0,0,1571553648.83676,822183472.653979,0,"A3-0"
"1-9_10",0,34.3243371885898,0,20.1907865815234,0,0,20.1907865815234,0,0,0,0,4849.82693688192,0,2.01907865815234,0,308.919034697308,738.982788883756,0,0,1080.2070821115,2398.66544588498,0,"A3-0"
