"ID","Bifidobacterium apousia (ESL0825)","Bifidobacterium apousia (ESL0820)","Bifidobacterium asteroides (ESL0822)","Bifidobacterium asteroides (ESL0170)","Bifidobacterium polysaccharolyticum (ESL0824)","Bifidobacterium polysaccharolyticum (ESL0198)","Bifidobacterium sp1. (ESL0827)","Bifidobacterium sp1. (ESL0199)","Bifidobacterium sp2. (ESL0200)","Bifidobacterium sp2. (ESL0819)","Bifidobacterium coryneforme (ESL0197)","Lactobacillus melliventris (ESL0394)","Bombilactobacillus mellis (ESL0295)","Bombilactobacillus mellifer (ESL1028)","Lactobacillus apis (ESL0263)","Lactobacillus apis (ESL0185)","Lactobacillus helsingborgensis (ESL0183)","Lactobacillus helsingborgensis (ESL0835)","Lactobacillus melliventris (ESL0184)","Lactobacillus melliventris (ESL0350)","Lactobacillus kullabergensis (ESL0186)","Lactobacillus kullabergensis (ESL0261)","Treatment"
"2-1_1",0,609509430.651951,127571741.299245,0,0,396889861.819875,132296620.606625,0,0,132296620.606625,14174637.9221384,0,0,21261956.8832076,2593958739.75132,0,4235854299.06569,0,0,2497098713.95005,1523773576.62988,0,"A4-0"
"2-1_2",0,121350619.069756,68454195.3726826,0,0,66898418.2051217,56785866.6159754,0,0,24114546.097195,31115543.3512194,0,1555777.16756097,7778885.83780485,1596227373.91755,0,1839706500.64085,0,0,2077740407.27767,689209285.229509,0,"A4-0"
"2-1_3",0,60673001.8919773,9036404.537103,0,0,20654638.9419497,21084943.919907,0,0,9036404.537103,0,0,860609.955914572,1721219.91182914,862331175.826401,0,1420436732.237,0,0,601136054.206328,788318719.617747,0,"A4-0"
"2-1_4",0,240876451.890467,39243916.3192334,0,0,54129539.7506667,20975196.6533834,0,0,2706476.98753334,6089573.22195,0,101492887.0325,25711531.3815667,209751966.533833,0,2148942728.10147,0,0,708420351.486851,754430460.274917,0,"A4-0"
"2-1_5",0,177905689.405353,99440734.689455,0,0,202765873.077717,71473028.0580458,0,0,20198899.2337955,0,0,271908258.916479,69142385.8387617,360472663.249274,0,779988262.720413,0,0,1092294320.10448,1082194870.48758,0,"A4-0"
"2-1_6",0,273807105.673375,107650656.931412,0,0,278487569.018219,107650656.931412,0,0,43684324.5518774,53045251.2415655,0,158355676.500556,1560154.44828134,316711353.001111,0,2472064723.30178,0,0,2359733603.02552,793338536.95106,0,"A4-0"
"2-1_7",0,18307720.0250982,0,0,0,3581945.22230181,1989969.56794545,0,0,3979939.1358909,0,0,0,0,590622967.76621,0,495900416.332006,0,0,222876591.609891,294515496.055927,0,"A4-0"
"2-1_8",0,89657423.2335846,15082557.1794815,0,0,28489274.672354,26813434.9857449,0,0,6703358.74643623,0,0,0,837919.843304529,1570261786.35269,0,1285369039.62915,0,0,1233418009.34427,1848451174.32979,0,"A4-0"
"2-1_9",0,11513566.208016,2795201.04472065,0,0,7121107.42345498,4059696.75542761,0,0,0,0,0,14242214.84691,332762.02913341,246909425.61699,0,68615530.4073092,0,0,332495819.510104,219622939.228051,0,"A4-0"
"2-2_1",619226599.712175,0,0,249410713.772959,453669487.983573,0,0,434318656.742567,90303879.1246922,0,0,8467063714.11995,0,64502770.8033516,0,511721981.706589,0,2171593283.71284,0,0,0,756832510.759325,"B4-0"
"2-2_2",66846765.8638462,0,0,17140196.3753452,50392177.3435148,0,0,25710294.5630178,0,0,0,1280372669.23828,0,7198882.47764497,0,102841178.252071,0,259845377.050233,0,0,0,159061022.363203,"B4-0"
"2-2_3",906527320.786114,0,0,21082030.7159562,63246092.1478685,0,0,10541015.3579781,36893553.7529233,0,0,6287715661.03392,0,13176269.1974726,0,500698229.503959,0,9602864991.11803,0,0,0,1733997026.38739,"B4-0"
"2-2_4",44216578.0406693,0,0,3763113.02473781,16934008.6113202,0,0,10348560.818029,0,0,0,2335011631.84981,0,0,0,25401012.9169802,0,8431254731.92507,0,0,0,1342490571.57521,"B4-0"
"2-2_5",333421781.511926,0,0,117272488.669712,233395247.058348,0,0,237994168.182651,17820819.3566719,0,2874325.70268902,2685769936.59262,0,44839480.9619487,0,203502259.750382,0,646723283.105029,557044321.181131,0,0,731228458.764086,"B4-0"
"2-2_6",17192084.7300003,0,0,2813250.2285455,9064917.40309105,0,0,8127167.32690922,625166.717454556,0,0,464811454.427462,0,4376167.02218189,0,46887503.8090917,0,160667846.385821,2813250.2285455,0,0,86273007.0087287,"B4-0"
"2-2_7",27856415.341317,0,0,6224897.28297587,15250998.3432909,0,0,17118467.5281836,6224897.28297587,0,0,495190578.86073,0,11204815.1093566,0,33458822.8959953,0,208534058.979692,107068233.267185,0,0,103644539.761548,"B4-0"
"2-2_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B4-0"
"2-2_9",4233408.27232504,0,0,0,0,0,0,0,0,0,0,667987263.180551,0,0,0,56371173.3104334,0,508008992.679005,0,0,0,34090077.1403016,"B4-0"
"2-2_10",871790244.857044,0,0,260383475.779609,563614865.295102,0,0,436719120.769597,62623873.921678,0,1647996.68214942,5998707923.02389,0,87343824.1539193,0,323007349.701287,0,1885308204.37894,481215031.187631,0,0,830590327.803308,"B4-0"
"2-3_1",8078.825843539,710936.674231432,290837.730367404,0,12118.2387653085,351428.924193947,206010.059010245,8078.825843539,0,68670.0196700815,12118.2387653085,117142.974731316,658424.306248429,145418.865183702,1021971.46920768,0,3635471.62959255,0,0,9569369.21167195,5126014.9977255,4039.4129217695,"A4-B4"
"2-3_2",0,605057083.424117,181517125.027235,0,0,404178131.72731,193618266.695717,0,0,55665251.6750188,0,12101141.6684823,268645345.040308,33883196.6717505,500987265.075169,0,3911088987.25349,0,0,3480288343.85552,2461372215.36931,0,"A4-B4"
"2-3_3",0,1019867.83881079,0,0,0,834437.32266337,0,0,0,370861.032294831,0,370861.032294831,556291.548442247,92715.2580737078,462649137.787802,0,669960454.840613,463576.290368539,0,133695402.142287,637417399.256741,0,"A4-B4"
"2-3_4",0,251282954.612498,31852768.8945421,0,0,120332682.490492,70783930.8767602,0,0,106175896.31514,42470358.5260561,0,10617589.631514,10617589.631514,1065298159.69524,0,2558839101.19488,0,0,1348433883.20228,1008671014.99383,0,"A4-B4"
"2-3_5",26954747.0269566,575034603.241741,192052572.567066,20216060.2702174,13477373.5134783,326826307.701849,154989795.405,20216060.2702174,0,110065217.026739,2246228.91891305,14600487.9729348,422291036.755653,56155722.9728262,701946537.160328,6738686.75673915,517755765.809458,0,0,2587655714.58783,2045191430.67033,0,"A4-B4"
"2-3_6",140949.931325755,1691399.17590906,563799.725303019,0,0,1590720.65353352,201357.044751078,140949.931325755,0,0,0,281899.862651509,0,0,24323931.0059302,0,10631651.9628569,0,0,26760351.2474183,28089307.7427754,0,"A4-B4"
"2-3_7",1536449.06844319,17599325.6930766,4749024.39336986,0,977740.316282031,11453529.4193038,8799662.84653828,558708.752161161,0,2933220.94884609,1676126.25648348,2793543.7608058,0,0,258542475.062577,0,299188536.782301,0,0,210633199.564757,215661578.334208,139677.18804029,"A4-B4"
"2-3_8",1272386.13748862,11745102.8075873,4698041.12303492,0,0,6753434.11436269,3915034.26919576,0,0,2153268.84805767,0,5187420.40668439,11059971.810478,1761765.42113809,232553035.590228,0,271703378.282186,0,0,316334768.951018,341195236.560411,0,"A4-B4"
"2-3_9",0,46665803.4453539,21332938.7178761,0,0,29332790.7370796,22666247.3877433,0,0,9333160.68907077,0,3999926.00960176,61332198.8138936,9333160.68907077,602655518.779998,0,193329757.130752,0,0,663987717.593892,670654260.943228,0,"A4-B4"
"2-3_10",1968233.70922123,26860601.2081956,5557365.76721288,0,0,12504072.976229,3010239.79057364,694670.72090161,0,1389341.44180322,0,7988713.29036852,0,0,352661169.311051,0,26976379.6616792,0,0,413560635.843425,334136616.753675,0,"A4-B4"
"2-4_1",89857144.9913337,0,0,17971428.9982667,25673469.9975239,0,0,17971428.9982667,10269387.9990096,0,3851020.49962859,1736810245.33249,0,24389796.4976477,327336742.46843,250316332.475858,0,1403055135.36468,39793878.4961621,0,0,132218370.487248,"B4-A4"
"2-4_2",0,0,0,0,0,0,0,42329132.1674471,0,0,0,15052239398.7442,0,0,1667767807.39742,965104213.417794,0,11911417791.9196,1456122146.56018,0,0,3276274829.76041,"B4-A4"
"2-4_3",129071805.449188,51628722.1796754,0,43023935.1497295,264597201.170836,0,0,202212495.203729,200061298.446242,0,178549330.871377,1507988926.99802,0,55931115.6946483,544252779.644078,309772333.078052,0,5625379520.82713,1269206086.91702,0,0,974492131.141373,"B4-A4"
"2-4_4",808454657.704894,0,0,75866712.7465004,303466850.986001,0,0,270275164.159408,106687564.799766,0,14225008.6399688,4962157180.57579,0,42675025.9199064,678058745.171847,272645998.932736,0,4556744434.33668,1676180184.74299,0,0,1218609073.49066,"B4-A4"
"2-4_5",178061284.32929,0,0,10272766.4036129,47511544.6167096,0,0,50507768.1510967,5136383.20180644,0,3424255.46787096,467410871.364386,0,12840958.0045161,302190545.039612,148955112.852387,0,1152689996.87206,59924470.6877419,3424255.46787096,0,86890482.4972257,"B4-A4"
"2-4_6",103686917.932757,0,0,26173396.7597251,39260095.1395876,0,0,28186734.9720116,30200073.1842982,0,0,599974787.261391,0,12080029.2737193,149993696.815348,41273433.3518742,0,662388271.842274,108720263.463473,0,0,194287137.485652,"B4-A4"
"2-4_7",9028508.46900088,0,0,2778002.60584643,3298878.09444263,0,0,3125252.93157723,0,0,0,442223289.818178,0,4514254.23450044,43232665.553485,43406290.7163504,0,98966342.8332789,7813132.32894307,0,0,93410337.6215861,"B4-A4"
"2-4_8",156635814.610026,0,0,40236723.0190893,36644158.4638135,0,0,37362671.3748687,58918058.7065237,0,5748103.28844133,1215723845.50534,0,5029590.37738617,0,4311077.466331,0,669654033.103415,367878610.460245,0,0,283094086.955736,"B4-A4"
"2-4_9",14981522.2288554,0,0,0,7990145.18872289,0,0,8988913.33731326,0,0,0,733095821.065326,0,4993840.74295181,119852177.830843,65918697.8069639,0,157805367.477277,45943334.8351566,0,0,234211130.84444,"B4-A4"
"2-4_10",104512445.709446,1222367.7860754,0,97789422.8860316,73342067.1645237,0,0,72730883.271486,8556574.50252777,0,0,2076802868.5421,0,10390126.1816409,951002137.566658,204135420.274591,0,410104392.228295,86788112.8113531,0,0,157074260.510688,"B4-A4"
