"ID","Bifidobacterium apousia (ESL0825)","Bifidobacterium apousia (ESL0820)","Bifidobacterium asteroides (ESL0822)","Bifidobacterium asteroides (ESL0170)","Bifidobacterium polysaccharolyticum (ESL0824)","Bifidobacterium polysaccharolyticum (ESL0198)","Bifidobacterium sp1. (ESL0827)","Bifidobacterium sp1. (ESL0199)","Bifidobacterium sp2. (ESL0200)","Bifidobacterium sp2. (ESL0819)","Bifidobacterium coryneforme (ESL0197)","Lactobacillus melliventris (ESL0394)","Bombilactobacillus mellis (ESL0295)","Bombilactobacillus mellifer (ESL1028)","Lactobacillus apis (ESL0263)","Lactobacillus apis (ESL0185)","Lactobacillus helsingborgensis (ESL0183)","Lactobacillus helsingborgensis (ESL0835)","Lactobacillus melliventris (ESL0184)","Lactobacillus melliventris (ESL0350)","Lactobacillus kullabergensis (ESL0186)","Lactobacillus kullabergensis (ESL0261)","Treatment"
"2-9_1",458458358.767383,0,0,157595060.826288,651870478.872372,0,0,329516945.364056,0,157595060.826288,50143882.9901825,0,128941413.403326,21490235.5672211,0,3345313336.63075,0,22743832641.9756,7084614325.32721,0,0,2485703913.9419,"A6-0"
"2-9_2",12846288.0844298,0,0,2253734.75165436,7211951.20529394,0,0,4507469.50330871,0,2704481.70198523,0,0,4507469.50330871,1126867.37582718,0,86768787.9386927,0,641863657.271161,225373.475165436,0,0,123279290.915493,"A6-0"
"2-9_3",177921758.911879,0,0,71168703.5647516,175380019.498852,0,0,106753055.347127,0,127086970.651342,45751309.4344832,0,149962625.368584,40667830.6084295,0,1375081022.44752,0,3873610865.45291,1410665374.2299,0,0,1237827094.14407,"A6-0"
"2-9_4",27210962.0800042,0,0,4820590.01883524,15159487.0329161,0,0,15857204.0093264,0,2600581.45752954,570859.344335752,0,20994938.1083482,2029722.11319378,0,71484275.6740436,0,299637726.960232,114742728.211486,0,0,346638479.643876,"A6-0"
"2-9_5",732503859.218192,0,0,116804669.442901,413765693.450276,0,0,188075315.204671,0,83149086.7220651,0,0,194014535.684819,9898700.80024584,0,1720394199.08273,0,8655423979.73496,11878440.960295,0,0,2755798302.78844,"A6-0"
"2-9_6",0,58027.3889180163,46421.9111344131,0,0,81238.3444852228,0,23210.9555672065,0,0,0,1206969.68949474,0,0,545457.455829353,61427793.9086121,1137336.82279312,144186455.983487,3156689.95714009,348164.333508098,615090.322530973,139265.733403239,"A6-0"
"2-9_7",3839680.3457889,186732.174871193,0,256756.74044789,2007370.87986532,70024.5655766972,0,3151105.45095138,0,501842.71996633,0,3197788.49466917,3547911.32255266,280098.262306789,1353808.26781615,26702701.0065805,2871007.18864459,132579844.158547,100228494.862113,1365479.0287456,1132063.81015661,38478498.7843951,"A6-0"
"2-9_8",235139177.466786,0,0,34460051.8701324,117569588.733393,0,0,46622423.1184145,0,30405928.1207051,119596650.608107,0,20270618.7471367,6081185.62414102,0,1731110841.00548,0,4372372463.75739,364871137.448461,0,0,1747327336.00319,"A6-0"
"2-10_1",0,21541446.2035948,12765301.4539821,0,0,10371807.4313604,12964759.2892006,0,1994578.3521847,0,0,492261937.319184,0,1196747.01131082,254707655.573986,0,23137108.8853425,0,0,93944640.3878994,98532170.5979242,0,"B6-0"
"2-10_2",0,16917701.0362737,16917701.0362737,0,0,14802988.4067395,0,0,0,0,0,1748867344.62479,0,23261838.9248763,634413788.860263,0,391221836.463829,0,0,955850108.549463,964308959.0676,0,"B6-0"
