"","Strain","Arrival_First_Estimate","Arrival_Second_Estimate","Arrival_First_pValue","Arrival_Second_pValue","Random_Effect_Variance","Model_AIC","Sample_Size","Arrival_First_Adj_pValue","Arrival_Second_Adj_pValue","Arrival_First_Adj_bh_pValue","Arrival_Second_Adj_bh_pValue","Arrival_First_Signif","Arrival_Second_Signif","Arrival_First_bh_Signif","Arrival_Second_bh_Signif"
"ESL0825","ESL0825",-0.0155244451926742,-0.708922033071711,0.931118671047972,9.1163706619133e-05,0,965.28497329079,170,1,0.00182327413238266,0.99715411252259,0.000107251419551921,"ns","***","ns","***"
"ESL0820","ESL0820",0.0351533846934493,-0.771313736710685,0.855033000158308,5.26115354238687e-05,0,946.144778393753,170,1,0.00105223070847737,0.99715411252259,7.01487138984916e-05,"ns","***","ns","***"
"ESL0822","ESL0822",-0.0786840670900133,-2.09165734416998,0.707520128111114,2.6075054298895e-19,0.126997918186439,777.397323669117,170,1,5.21501085977899e-18,0.99715411252259,7.45001551396999e-19,"ns","***","ns","***"
"ESL0170","ESL0170",-0.00883588559202427,-1.34533206865023,0.968833770370962,2.70032333147922e-09,0,822.533674896359,170,1,5.40064666295844e-08,0.99715411252259,4.5005388857987e-09,"ns","***","ns","***"
"ESL0824","ESL0824",0.0106437804665874,-1.13036170895391,0.961263307776273,1.96123328748036e-07,0,872.515589386261,170,1,3.92246657496073e-06,0.99715411252259,3.01728198073902e-07,"ns","***","ns","***"
"ESL0198","ESL0198",0.0384671507296338,-1.36095087279255,0.850287337585141,3.58858543308622e-11,0,874.872758780992,170,1,7.17717086617245e-10,0.99715411252259,7.17717086617245e-11,"ns","***","ns","***"
"ESL0827","ESL0827",0.000745962634313036,-1.93280974250913,0.99715411252259,1.17559505189244e-16,0.123089062060581,797.124639562292,171,1,2.35119010378489e-15,0.99715411252259,2.61243344864988e-16,"ns","***","ns","***"
"ESL0199","ESL0199",0.0477269230692115,-0.949306028102355,0.810000586257271,2.59657828360274e-06,4.26364830962701e-15,907.579625321271,169,1,5.19315656720548e-05,0.99715411252259,3.70939754800391e-06,"ns","***","ns","***"
"ESL0200","ESL0200",-0.00804107402028919,-3.38832358638403,0.968761346364716,1.11302769493668e-49,0.532992900752877,593.361226192655,171,1,2.22605538987336e-48,0.99715411252259,7.42018463291119e-49,"ns","***","ns","***"
"ESL0819","ESL0819",-0.0598808202997915,-2.44449808816381,0.78355220936773,9.37344255283752e-22,0.305767861111387,706.630278997705,169,1,1.8746885105675e-20,0.99715411252259,3.12448085094584e-21,"ns","***","ns","***"
"ESL0295","ESL0295",-0.0844420725379526,-0.628172515669193,0.738952644993969,0.0148091713240815,0,798.153156011426,168,1,0.29618342648163,0.99715411252259,0.016454634804535,"ns","ns","ns","*"
"ESL0185","ESL0185",0.0144720070434956,-1.46755650619164,0.943212172974798,5.03817975426563e-11,0.00670778050738993,887.431041190324,170,1,1.00763595085313e-09,0.99715411252259,9.16032682593752e-11,"ns","***","ns","***"
"ESL0263","ESL0263",-0.0129302045670495,-0.101988448429104,0.879454848591483,0.231603686171055,0,922.114040608237,170,1,1,0.99715411252259,0.231603686171055,"ns","ns","ns","ns"
"ESL0183","ESL0183",0.00356342295640036,-3.30761619088482,0.982041608159913,6.09537009463367e-88,0.307533505096604,712.719164228525,171,1,1.21907401892673e-86,0.99715411252259,1.21907401892673e-86,"ns","***","ns","***"
"ESL0835","ESL0835",0.00814473702780571,-3.30021342406248,0.96052606754516,1.71417078633691e-64,0.576909363921615,744.481438662683,169,1,3.42834157267381e-63,0.99715411252259,1.71417078633691e-63,"ns","***","ns","***"
"ESL0394","ESL0394",0.0383850954590134,-0.262739712119988,0.750102135779834,0.0264823949627601,4.56759196449666e-18,1007.44971489384,172,1,0.529647899255201,0.99715411252259,0.027876205223958,"ns","ns","ns","*"
"ESL0184","ESL0184",-0.163781333533844,-2.41606578584428,0.547632791851261,2.81269039046868e-18,0,464.743979419392,169,1,5.62538078093735e-17,0.99715411252259,7.03172597617169e-18,"ns","***","ns","***"
"ESL0350","ESL0350",-0.00217372687447725,-0.704401379353081,0.990193276029128,8.56204378376618e-05,0.000660738444241535,1004.79943788896,171,1,0.00171240875675324,0.99715411252259,0.000107025547297077,"ns","***","ns","***"
"ESL0186","ESL0186",-0.00666681825016472,-2.39649044321578,0.972878564477793,2.36085062630967e-24,0.365935940741399,840.10262792551,170,1,4.72170125261933e-23,0.99715411252259,9.44340250523867e-24,"ns","***","ns","***"
"ESL0261","ESL0261",-0.00581531058207828,-2.60976332692346,0.974426319744893,3.33697120328221e-34,0.258912117066625,809.203770793769,170,1,6.67394240656443e-33,0.99715411252259,1.66848560164111e-33,"ns","***","ns","***"
