Strain,CommunityCombo,priority_effect_strength_median,num_samples_first,num_samples_second,spec_name
ESL0825,1,0.9825507414347535,10,10,Bifidobacterium apousia
ESL0825,2,inf,9,10,Bifidobacterium apousia
ESL0825,3,2.221403012511224,10,8,Bifidobacterium apousia
ESL0825,4,3.1452093181097287,10,10,Bifidobacterium apousia
ESL0825,5,0.67206847600364,9,9,Bifidobacterium apousia
ESL0825,6,inf,10,9,Bifidobacterium apousia
ESL0820,1,0.9788204137342125,10,10,Bifidobacterium apousia
ESL0820,2,1.6974394236314765,10,9,Bifidobacterium apousia
ESL0820,3,1.4275607455698789,8,10,Bifidobacterium apousia
ESL0820,4,inf,10,10,Bifidobacterium apousia
ESL0820,5,inf,9,9,Bifidobacterium apousia
ESL0820,6,inf,9,10,Bifidobacterium apousia
ESL0822,1,inf,10,10,Bifidobacterium asteroides
ESL0822,2,inf,9,10,Bifidobacterium asteroides
ESL0822,3,inf,10,8,Bifidobacterium asteroides
ESL0822,4,inf,10,10,Bifidobacterium asteroides
ESL0822,5,inf,9,9,Bifidobacterium asteroides
ESL0822,6,inf,9,10,Bifidobacterium asteroides
ESL0170,1,1.4779689892024506,10,10,Bifidobacterium asteroides
ESL0170,2,inf,10,9,Bifidobacterium asteroides
ESL0170,3,inf,8,10,Bifidobacterium asteroides
ESL0170,4,inf,10,10,Bifidobacterium asteroides
ESL0170,5,inf,9,9,Bifidobacterium asteroides
ESL0170,6,inf,10,9,Bifidobacterium asteroides
ESL0824,1,0.9832294162893663,10,10,Bifidobacterium polysaccharolyticum
ESL0824,2,inf,9,10,Bifidobacterium polysaccharolyticum
ESL0824,3,inf,8,10,Bifidobacterium polysaccharolyticum
ESL0824,4,inf,10,10,Bifidobacterium polysaccharolyticum
ESL0824,5,inf,9,9,Bifidobacterium polysaccharolyticum
ESL0824,6,inf,10,9,Bifidobacterium polysaccharolyticum
ESL0198,1,1.3045984135701414,10,10,Bifidobacterium polysaccharolyticum
ESL0198,2,inf,10,9,Bifidobacterium polysaccharolyticum
ESL0198,3,inf,10,8,Bifidobacterium polysaccharolyticum
ESL0198,4,inf,10,10,Bifidobacterium polysaccharolyticum
ESL0198,5,inf,9,9,Bifidobacterium polysaccharolyticum
ESL0198,6,inf,9,10,Bifidobacterium polysaccharolyticum
ESL0827,1,inf,10,10,Bifidobacterium sp1.
ESL0827,2,inf,9,10,Bifidobacterium sp1.
ESL0827,3,inf,8,10,Bifidobacterium sp1.
ESL0827,4,inf,10,10,Bifidobacterium sp1.
ESL0827,5,inf,9,9,Bifidobacterium sp1.
ESL0827,6,inf,9,10,Bifidobacterium sp1.
ESL0199,1,1.2791724524575343,10,10,Bifidobacterium sp1.
ESL0199,2,1.2213813267476026,10,9,Bifidobacterium sp1.
ESL0199,3,inf,10,8,Bifidobacterium sp1.
ESL0199,4,3.9940654095763626,10,10,Bifidobacterium sp1.
ESL0199,5,inf,9,9,Bifidobacterium sp1.
ESL0199,6,inf,10,9,Bifidobacterium sp1.
ESL0200,1,inf,10,10,Bifidobacterium sp2.
ESL0200,2,inf,9,10,Bifidobacterium sp2.
ESL0200,3,inf,10,8,Bifidobacterium sp2.
ESL0200,4,inf,10,10,Bifidobacterium sp2.
ESL0200,5,inf,9,9,Bifidobacterium sp2.
ESL0200,6,nan,9,10,Bifidobacterium sp2.
ESL0819,1,inf,10,10,Bifidobacterium sp2.
