Strain,CommunityCombo,priority_effect_strength_median,null_f,null_s,num_samples_first,num_samples_second,spec_name
ESL0825,1,1.0782209177670743,-0.02655119635738029,nan,10,10,Bifidobacterium apousia
ESL0825,2,inf,-0.015093419219885358,nan,9,10,Bifidobacterium apousia
ESL0825,3,2.30470304900164,0.0006344116131099957,nan,10,8,Bifidobacterium apousia
ESL0825,4,nan,nan,nan,10,10,Bifidobacterium apousia
ESL0825,5,1.2050242596680638,0.04146890157803952,nan,9,9,Bifidobacterium apousia
ESL0825,6,nan,nan,nan,10,9,Bifidobacterium apousia
ESL0820,1,1.1195231058743293,-0.059608900818807195,nan,10,10,Bifidobacterium apousia
ESL0820,2,1.6877357961511006,0.011640440944892748,nan,10,9,Bifidobacterium apousia
ESL0820,3,nan,nan,nan,8,10,Bifidobacterium apousia
ESL0820,4,inf,-0.017245263781265657,nan,10,10,Bifidobacterium apousia
ESL0820,5,nan,nan,nan,9,9,Bifidobacterium apousia
ESL0820,6,inf,0.02825041720167269,nan,9,10,Bifidobacterium apousia
ESL0822,1,nan,nan,nan,10,10,Bifidobacterium asteroides
ESL0822,2,nan,nan,nan,9,10,Bifidobacterium asteroides
ESL0822,3,nan,nan,nan,10,8,Bifidobacterium asteroides
ESL0822,4,nan,nan,nan,10,10,Bifidobacterium asteroides
ESL0822,5,nan,nan,nan,9,9,Bifidobacterium asteroides
ESL0822,6,inf,-0.005250351496747365,nan,9,10,Bifidobacterium asteroides
ESL0170,1,nan,nan,nan,10,10,Bifidobacterium asteroides
ESL0170,2,nan,nan,nan,10,9,Bifidobacterium asteroides
ESL0170,3,nan,nan,nan,8,10,Bifidobacterium asteroides
ESL0170,4,nan,nan,nan,10,10,Bifidobacterium asteroides
ESL0170,5,inf,0.010049182689716798,nan,9,9,Bifidobacterium asteroides
ESL0170,6,nan,nan,nan,10,9,Bifidobacterium asteroides
ESL0824,1,inf,-0.010932237379557029,nan,10,10,Bifidobacterium polysaccharolyticum
ESL0824,2,inf,0.0015285245250196268,nan,9,10,Bifidobacterium polysaccharolyticum
ESL0824,3,nan,nan,nan,8,10,Bifidobacterium polysaccharolyticum
ESL0824,4,nan,nan,nan,10,10,Bifidobacterium polysaccharolyticum
ESL0824,5,nan,nan,nan,9,9,Bifidobacterium polysaccharolyticum
ESL0824,6,nan,nan,nan,10,9,Bifidobacterium polysaccharolyticum
ESL0198,1,nan,nan,nan,10,10,Bifidobacterium polysaccharolyticum
ESL0198,2,inf,-0.01220578308949323,nan,10,9,Bifidobacterium polysaccharolyticum
ESL0198,3,inf,0.014061056960653113,nan,10,8,Bifidobacterium polysaccharolyticum
ESL0198,4,inf,0.09963200823587166,nan,10,10,Bifidobacterium polysaccharolyticum
