ID,Strain,Counts,total_counts,rel_counts,bac_copies,bac_copies_raw,Ct_Mean_bac,Ct_SD_bac,abs_counts_org,limit_passed,Type,Experiment,Plate,CommunityCombo,Treatment,Notes,present,spec_name,spec_name_uniq,Treatment_simp,total_reads,sample_geq,abs_counts,geq_passed,is_low,arrival
2-1,ESL0825,236,8316,0.0283790283790284,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,11865573.8887481,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium apousia,Bifidobacterium apousia (ESL0825),AB-0,8316,50277.8554607969,11865573.8887481,1,No,both
2-1,ESL0820,188,8316,0.0226070226070226,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,9452236.82662983,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium apousia,Bifidobacterium apousia (ESL0820),AB-0,8316,50277.8554607969,9452236.82662983,1,No,both
2-1,ESL0822,59,8316,0.00709475709475709,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,2966393.47218702,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium asteroides,Bifidobacterium asteroides (ESL0822),AB-0,8316,50277.8554607969,2966393.47218702,1,No,both
2-1,ESL0170,66,8316,0.00793650793650794,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,3318338.4604126,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium asteroides,Bifidobacterium asteroides (ESL0170),AB-0,8316,50277.8554607969,3318338.4604126,1,No,both
2-1,ESL0824,282,8316,0.0339105339105339,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,14178355.2399447,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium polysaccharolyticum,Bifidobacterium polysaccharolyticum (ESL0824),AB-0,8316,50277.8554607969,14178355.2399447,1,No,both
2-1,ESL0198,110,8316,0.0132275132275132,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,5530564.10068766,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium polysaccharolyticum,Bifidobacterium polysaccharolyticum (ESL0198),AB-0,8316,50277.8554607969,5530564.10068766,1,No,both
2-1,ESL0827,120,8316,0.0144300144300144,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,6033342.65529563,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium sp1.,Bifidobacterium sp1. (ESL0827),AB-0,8316,50277.8554607969,6033342.65529563,1,No,both
2-1,ESL0199,118,8316,0.0141895141895142,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,5932786.94437404,Yes,bee,pilot,3,pilot,AB-0,pilot,1,Bifidobacterium sp1.,Bifidobacterium sp1. (ESL0199),AB-0,8316,50277.8554607969,5932786.94437404,1,No,both
2-1,ESL0200,0,8316,0,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Bifidobacterium sp2.,Bifidobacterium sp2. (ESL0200),AB-0,8316,50277.8554607969,0,0,No,both
2-1,ESL0819,0,8316,0,418110646.011987,1393702.15337329,16.0912532806396,0.094429187476635,0,Yes,bee,pilot,3,pilot,AB-0,pilot,0,Bifidobacterium sp2.,Bifidobacterium sp2. (ESL0819),AB-0,8316,50277.8554607969,0,0,No,both
