Strain,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,y.position,pval,spec_name_uniq
ESL0820,abs_counts,first,second,54,29,1334,1.25142857142857e-06,2.92e-07,****,11,***,Bifidobacterium apousia (ESL0820)
ESL0825,abs_counts,first,second,56,30,1307,9.48e-05,4.74e-05,****,11,***,Bifidobacterium apousia (ESL0825)
ESL0170,abs_counts,first,second,50,13,423,0.143414634146341,0.195,ns,11,ns.,Bifidobacterium asteroides (ESL0170)
ESL0822,abs_counts,first,second,50,8,292,0.065,0.078,ns,11,ns.,Bifidobacterium asteroides (ESL0822)
ESL0198,abs_counts,first,second,56,15,718,9.81176470588235e-05,5.56e-05,****,11,***,Bifidobacterium polysaccharolyticum (ESL0198)
ESL0824,abs_counts,first,second,52,18,654,0.0236363636363636,0.013,*,11,*,Bifidobacterium polysaccharolyticum (ESL0824)
ESL0199,abs_counts,first,second,56,22,1041,1.458e-05,7.29e-06,****,11,***,Bifidobacterium sp1. (ESL0199)
ESL0827,abs_counts,first,second,52,10,353,0.118461538461538,0.077,ns,11,ns.,Bifidobacterium sp1. (ESL0827)
ESL0200,abs_counts,first,second,43,2,47,0.877241379310345,1,ns,11,ns.,Bifidobacterium sp2. (ESL0200)
ESL0819,abs_counts,first,second,46,6,171,0.46,0.642,ns,11,ns.,Bifidobacterium sp2. (ESL0819)
ESL0184,abs_counts,first,second,26,3,78,0.00149181818181818,0.002,**,11,**,Lactobacillus melliventris (ESL0184)
ESL0350,abs_counts,first,second,54,34,1630,1.62e-08,2.16e-09,****,11,***,Lactobacillus melliventris (ESL0350)
ESL0394,abs_counts,first,second,54,52,2643,1.5e-13,1e-14,****,11,***,Lactobacillus melliventris (ESL0394)
ESL0185,abs_counts,first,second,55,15,771,2.2425e-06,5.98e-07,****,11,***,Lactobacillus apis (ESL0185)
ESL0263,abs_counts,first,second,56,53,1967,0.0075,0.009,**,11,**,Lactobacillus apis (ESL0263)
ESL0183,abs_counts,first,second,55,3,163,0.0111111111111111,0.015,*,11,*,Lactobacillus helsingborgensis (ESL0183)
ESL0835,abs_counts,first,second,56,4,200,0.02,0.029,*,11,*,Lactobacillus helsingborgensis (ESL0835)
ESL0186,abs_counts,first,second,53,10,495,6.77142857142857e-05,3.16e-05,****,11,***,Lactobacillus kullabergensis (ESL0186)
ESL0261,abs_counts,first,second,56,8,443,4.23692307692308e-05,2.75e-05,****,11,***,Lactobacillus kullabergensis (ESL0261)
ESL0295,abs_counts,first,second,39,24,735,0.000274857142857143,0.000192,***,11,***,Bombilactobacillus mellis (ESL0295)
