Strain,CommunityCombo,priority_effect_strength_median,null_f,null_s,num_samples_first,num_samples_second,spec_name
ESL0825,1,1.0782209177670743,0.0,nan,9,10,Bifidobacterium apousia
ESL0825,2,7.613277292852721,0.0,nan,9,10,Bifidobacterium apousia
ESL0825,3,1.9114476511774516,0.0,nan,10,7,Bifidobacterium apousia
ESL0825,4,2.870103142231507,0.0,nan,10,10,Bifidobacterium apousia
ESL0825,5,0.7385382135587317,0.0,nan,9,8,Bifidobacterium apousia
ESL0825,6,7.172990778041672,0.0,nan,9,9,Bifidobacterium apousia
ESL0820,1,1.0547535763313092,0.0,nan,10,9,Bifidobacterium apousia
ESL0820,2,1.655988290486151,0.0,nan,10,9,Bifidobacterium apousia
ESL0820,3,1.5794707817239506,0.0,nan,7,10,Bifidobacterium apousia
ESL0820,4,7.069856822609789,0.0,nan,10,10,Bifidobacterium apousia
ESL0820,5,7.1835466675512505,0.0,nan,8,9,Bifidobacterium apousia
ESL0820,6,7.20508709948204,0.0,nan,9,9,Bifidobacterium apousia
ESL0822,1,6.952859114600717,0.0,nan,9,10,Bifidobacterium asteroides
ESL0822,2,7.206535885993291,0.0,nan,9,10,Bifidobacterium asteroides
ESL0822,3,7.675497767211658,0.0,nan,10,7,Bifidobacterium asteroides
ESL0822,4,6.744868981535171,0.0,nan,10,10,Bifidobacterium asteroides
ESL0822,5,7.573692641233285,0.0,nan,8,9,Bifidobacterium asteroides
ESL0822,6,7.189292832298808,0.0,nan,9,9,Bifidobacterium asteroides
ESL0170,1,1.2347122628082563,0.0,nan,10,9,Bifidobacterium asteroides
ESL0170,2,7.856765940761025,0.0,nan,10,9,Bifidobacterium asteroides
ESL0170,3,7.647707023213847,0.0,nan,7,10,Bifidobacterium asteroides
ESL0170,4,7.254582611409891,0.0,nan,10,10,Bifidobacterium asteroides
ESL0170,5,6.870231093067527,0.0,nan,9,8,Bifidobacterium asteroides
ESL0170,6,6.616322715272266,0.0,nan,9,9,Bifidobacterium asteroides
ESL0824,1,1.7791933777960123,0.0,nan,9,10,Bifidobacterium polysaccharolyticum
ESL0824,2,7.483077768348467,0.0,nan,9,10,Bifidobacterium polysaccharolyticum
ESL0824,3,7.241941677029855,0.0,nan,7,10,Bifidobacterium polysaccharolyticum
ESL0824,4,6.902554670939561,0.0,nan,10,10,Bifidobacterium polysaccharolyticum
ESL0824,5,6.676741196470239,0.0,nan,9,8,Bifidobacterium polysaccharolyticum
ESL0824,6,7.375413678785205,0.0,nan,9,9,Bifidobacterium polysaccharolyticum
ESL0198,1,1.2649174042387317,0.0,nan,10,9,Bifidobacterium polysaccharolyticum
ESL0198,2,8.104821957778695,0.0,nan,10,9,Bifidobacterium polysaccharolyticum
ESL0198,3,7.724590014740257,0.0,nan,10,7,Bifidobacterium polysaccharolyticum
ESL0198,4,7.0970514996465335,0.0,nan,10,10,Bifidobacterium polysaccharolyticum
ESL0198,5,7.660871693581614,0.0,nan,8,9,Bifidobacterium polysaccharolyticum
ESL0198,6,6.837110314187447,0.0,nan,9,9,Bifidobacterium polysaccharolyticum
ESL0827,1,7.216100549375296,0.0,nan,9,10,Bifidobacterium sp1.
ESL0827,2,7.450304567347918,0.0,nan,9,10,Bifidobacterium sp1.
ESL0827,3,7.0456470318858875,0.0,nan,7,10,Bifidobacterium sp1.
ESL0827,4,6.944466032753235,0.0,nan,10,10,Bifidobacterium sp1.
ESL0827,5,6.011629459395189,0.0,nan,9,8,Bifidobacterium sp1.
ESL0827,6,7.21481673870785,0.0,nan,9,9,Bifidobacterium sp1.
ESL0199,1,1.1855465823023097,0.0,nan,10,9,Bifidobacterium sp1.
ESL0199,2,1.1848089556607952,0.0,nan,10,9,Bifidobacterium sp1.
ESL0199,3,7.505973121210997,0.0,nan,10,7,Bifidobacterium sp1.
ESL0199,4,6.494885171229897,0.0,nan,10,10,Bifidobacterium sp1.
ESL0199,5,7.451228487459975,0.0,nan,8,9,Bifidobacterium sp1.
ESL0199,6,6.931938391946549,0.0,nan,9,9,Bifidobacterium sp1.
ESL0200,1,6.507718009027686,0.0,nan,9,10,Bifidobacterium sp2.
ESL0200,2,6.839816791040808,0.0,nan,9,10,Bifidobacterium sp2.
ESL0200,3,7.323315249100296,0.0,nan,10,7,Bifidobacterium sp2.
ESL0200,4,6.932299936126399,0.0,nan,10,10,Bifidobacterium sp2.
ESL0200,5,7.586891641219796,0.0,nan,8,9,Bifidobacterium sp2.
ESL0200,6,0.0,0.0,nan,9,9,Bifidobacterium sp2.
ESL0819,1,0.2280248708268305,0.0,nan,10,9,Bifidobacterium sp2.
ESL0819,2,7.464655475749711,0.0,nan,10,9,Bifidobacterium sp2.
ESL0819,3,7.5953482936480725,0.0,nan,7,10,Bifidobacterium sp2.
ESL0819,4,6.33309825738437,0.0,nan,10,10,Bifidobacterium sp2.
ESL0819,5,6.011629459395189,0.0,nan,9,8,Bifidobacterium sp2.
ESL0819,6,6.788772532340403,0.0,nan,9,9,Bifidobacterium sp2.
ESL0394,1,0.8631976522247035,0.0,nan,10,9,Lactobacillus melliventris
ESL0394,2,1.2003851452346386,0.0,nan,9,10,Lactobacillus melliventris
ESL0394,3,1.151331819427258,0.0,nan,7,10,Lactobacillus melliventris
ESL0394,4,2.871239796017554,0.0,nan,10,10,Lactobacillus melliventris
ESL0394,5,1.603329051584174,0.0,nan,9,8,Lactobacillus melliventris
ESL0394,6,2.0214203305985388,0.0,nan,9,9,Lactobacillus melliventris
ESL0295,1,-1.0,0.0,nan,9,10,Bombilactobacillus mellis
ESL0295,2,1.1825750239439208,0.0,nan,10,9,Bombilactobacillus mellis
ESL0295,3,1.8116498947798554,0.0,nan,10,7,Bombilactobacillus mellis
ESL0295,4,5.818505854820743,0.0,nan,10,10,Bombilactobacillus mellis
ESL0295,5,7.260307541083427,0.0,nan,8,9,Bombilactobacillus mellis
ESL0295,6,7.175375913929624,0.0,nan,9,9,Bombilactobacillus mellis
ESL0263,1,0.2493208942250471,0.0,nan,10,9,Lactobacillus apis
ESL0263,2,-0.0013567595376750283,0.0,nan,9,10,Lactobacillus apis
ESL0263,3,0.7166134064078005,0.0,nan,10,7,Lactobacillus apis
ESL0263,4,0.03236288699399852,0.0,nan,10,10,Lactobacillus apis
ESL0263,5,0.7003616498709171,0.0,nan,8,9,Lactobacillus apis
ESL0263,6,0.6963754901632784,0.0,nan,9,9,Lactobacillus apis
ESL0185,1,4.5190549049440705,0.0,nan,9,10,Lactobacillus apis
ESL0185,2,8.934125730609718,0.0,nan,10,9,Lactobacillus apis
ESL0185,3,8.054855033672709,0.0,nan,7,10,Lactobacillus apis
ESL0185,4,8.173055414872104,0.0,nan,10,10,Lactobacillus apis
ESL0185,5,2.306086760054342,0.0,nan,9,8,Lactobacillus apis
ESL0185,6,7.51129481204203,0.0,nan,9,9,Lactobacillus apis
ESL0183,1,9.15039437597756,0.0,nan,9,10,Lactobacillus helsingborgensis
ESL0183,2,9.279301732677796,0.0,nan,10,9,Lactobacillus helsingborgensis
ESL0183,3,8.475089756609842,0.0,nan,7,10,Lactobacillus helsingborgensis
ESL0183,4,8.47594494979549,0.0,nan,10,10,Lactobacillus helsingborgensis
ESL0183,5,8.89433663795965,0.0,nan,9,8,Lactobacillus helsingborgensis
ESL0183,6,8.697265842414513,0.0,nan,9,9,Lactobacillus helsingborgensis
ESL0835,1,8.325744756608414,0.0,nan,10,9,Lactobacillus helsingborgensis
ESL0835,2,8.418119883976518,0.0,nan,9,10,Lactobacillus helsingborgensis
ESL0835,3,8.808714062549067,0.0,nan,10,7,Lactobacillus helsingborgensis
ESL0835,4,8.825850488790316,0.0,nan,10,10,Lactobacillus helsingborgensis
ESL0835,5,9.027676763181775,0.0,nan,8,9,Lactobacillus helsingborgensis
ESL0835,6,8.617470755779353,0.0,nan,9,9,Lactobacillus helsingborgensis
ESL0184,1,0.0,0.0,nan,9,10,Lactobacillus melliventris
ESL0184,2,0.0,0.0,nan,10,9,Lactobacillus melliventris
ESL0184,3,0.0,0.0,nan,10,7,Lactobacillus melliventris
ESL0184,4,7.938460244831218,0.0,nan,10,10,Lactobacillus melliventris
ESL0184,5,0.0,0.0,nan,8,9,Lactobacillus melliventris
ESL0184,6,6.944903369110916,0.0,nan,9,9,Lactobacillus melliventris
ESL0350,1,1.167962459343448,0.0,nan,10,9,Lactobacillus melliventris
ESL0350,2,1.7266896718736058,0.0,nan,9,10,Lactobacillus melliventris
ESL0350,3,0.8965924812902661,0.0,nan,7,10,Lactobacillus melliventris
ESL0350,4,8.500146928664712,0.0,nan,10,10,Lactobacillus melliventris
ESL0350,5,2.112322314346476,0.0,nan,9,8,Lactobacillus melliventris
ESL0350,6,4.35895635907098,0.0,nan,9,9,Lactobacillus melliventris
ESL0186,1,8.902790973445555,0.0,nan,9,10,Lactobacillus kullabergensis
ESL0186,2,8.669875541058293,0.0,nan,10,9,Lactobacillus kullabergensis
ESL0186,3,8.566324735242365,0.0,nan,7,10,Lactobacillus kullabergensis
ESL0186,4,8.53300295933614,0.0,nan,10,10,Lactobacillus kullabergensis
ESL0186,5,8.78633336159795,0.0,nan,8,9,Lactobacillus kullabergensis
ESL0186,6,8.554191726448053,0.0,nan,9,9,Lactobacillus kullabergensis
ESL0261,1,2.8069025324228085,0.0,nan,10,9,Lactobacillus kullabergensis
ESL0261,2,7.9563384112247695,0.0,nan,9,10,Lactobacillus kullabergensis
ESL0261,3,8.847738624903101,0.0,nan,10,7,Lactobacillus kullabergensis
ESL0261,4,8.196105023779454,0.0,nan,10,10,Lactobacillus kullabergensis
ESL0261,5,8.185023358276556,0.0,nan,9,8,Lactobacillus kullabergensis
ESL0261,6,8.285018980816977,0.0,nan,9,9,Lactobacillus kullabergensis
