".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","Strain"
"abs_counts","second1'","secondm1",10,10,32,0.183,0.244,"ns",10,"ESL0825"
"abs_counts","second1'","secondm6",10,8,53.5,0.227,0.276,"ns",10,"ESL0825"
"abs_counts","second1'","secondm7",10,6,35.5,0.578,0.578,"ns",10,"ESL0825"
"abs_counts","secondm1","secondm6",10,8,64,0.032,0.044,"*",10,"ESL0825"
"abs_counts","secondm1","secondm7",10,6,42,0.205,0.261,"ns",10,"ESL0825"
"abs_counts","secondm6","secondm7",8,6,19.5,0.567,0.578,"ns",10,"ESL0825"
"abs_counts","second1'","secondm1",9,10,25,0.092,0.13,"ns",10,"ESL0820"
"abs_counts","second1'","secondm4",9,9,10,0.007,0.025,"*",10,"ESL0820"
"abs_counts","second1'","secondm6",9,10,49,0.712,0.754,"ns",10,"ESL0820"
"abs_counts","second1'","secondm7",9,10,37,0.479,0.539,"ns",10,"ESL0820"
"abs_counts","secondm1","secondm4",10,9,31,0.27,0.324,"ns",10,"ESL0820"
"abs_counts","secondm1","secondm6",10,10,72,0.075,0.118,"ns",10,"ESL0820"
"abs_counts","secondm1","secondm7",10,10,54,0.781,0.803,"ns",10,"ESL0820"
"abs_counts","secondm4","secondm6",9,10,77,0.008,0.025,"*",10,"ESL0820"
"abs_counts","secondm4","secondm7",9,10,59,0.263,0.324,"ns",10,"ESL0820"
"abs_counts","secondm6","secondm7",10,10,38,0.284,0.33,"ns",10,"ESL0820"
"abs_counts","second1'","secondm1",10,10,37,0.268,0.375,"ns",10,"ESL0822"
"abs_counts","second1'","secondm1",10,10,35,0.269,0.342,"ns",10,"ESL0824"
"abs_counts","second1'","secondm6",10,8,60,0.064,0.086,"ns",10,"ESL0824"
"abs_counts","secondm1","secondm6",10,8,67,0.014,0.021,"*",10,"ESL0824"
"abs_counts","secondm1","secondm4",10,9,43,0.892,0.925,"ns",10,"ESL0198"
"abs_counts","secondm1","secondm7",10,10,57,0.545,0.636,"ns",10,"ESL0198"
"abs_counts","secondm4","secondm7",9,10,52,0.52,0.636,"ns",10,"ESL0198"
"abs_counts","second1'","secondm1",10,10,21.5,0.024,0.032,"*",10,"ESL0827"
"abs_counts","second1'","secondm1",9,10,56,0.365,0.465,"ns",10,"ESL0199"
"abs_counts","second1'","secondm4",9,9,19,0.062,0.093,"ns",10,"ESL0199"
"abs_counts","second1'","secondm7",9,10,47,0.897,0.897,"ns",10,"ESL0199"
"abs_counts","secondm1","secondm4",10,9,9,0.003,0.013,"*",10,"ESL0199"
"abs_counts","secondm1","secondm7",10,10,39.5,0.419,0.475,"ns",10,"ESL0199"
"abs_counts","secondm4","secondm7",9,10,69,0.053,0.093,"ns",10,"ESL0199"
"abs_counts","second1'","secondm1",9,10,30.5,0.253,0.294,"ns",10,"ESL0394"
"abs_counts","second1'","secondm4",9,9,19,0.062,0.09,"ns",10,"ESL0394"
"abs_counts","second1'","secondm6",9,10,9,0.002,0.009,"**",10,"ESL0394"
